N,t,err,norm_x
2,0.0126090049743652 ,0.0000000000000001,0.9020061639802917
4,0.0002949237823486 ,0.0000000000000012,1.3008496153631417
8,0.0015561580657959 ,0.0000000000000126,1.3589307944843909
16,0.0093419551849365 ,0.0102627405938463,2.5114123162310955
32,0.0651369094848633 ,0.0373607456206842,2.9026306940160094
64,0.4987559318542480 ,0.0000000000133596,4.4583039051157627
128,3.8097059726715088 ,0.4019958378427057,6.6206020059304027
256,30.2784981727600098 ,0.0861641208318542,9.4015625524035187
512,234.6364409923553467 ,0.2210186083915837,13.0377023820889200
1024,1877.3963630199432373 ,1.4738064377103679,18.4648646916939008
