N,k,t,err,norm_x
200,0,14.1570799350738525 ,0.0000000002804861,8.7658668232884409
200,1,14.1012511253356934 ,0.0000000009330805,7.6594376893380849
200,2,14.1164801120758057 ,0.0000000002832846,8.1325739064647120
200,3,14.0766379833221436 ,0.0000000013087834,7.9488096410206204
200,4,14.1215579509735107 ,0.0000000004017178,8.1514973112129745
200,5,14.1089551448822021 ,0.0000000000162353,8.5164381568949530
200,6,14.0664088726043701 ,0.0000001835947049,8.0405395575496605
200,7,14.0726599693298340 ,0.0000000000239794,8.1317088603089900
200,8,14.1361770629882812 ,0.0000000000436880,7.7888314392175753
200,9,14.0706229209899902 ,0.0000203085419416,8.3067651099017112
200,10,14.0837600231170654 ,0.0000000000161431,8.0355001759428237
200,11,14.0523469448089600 ,0.0448203462084091,7.8773303247257171
200,12,14.0478830337524414 ,0.1390451057512808,8.1710882948507599
