N,t,err,norm_x
2,0.0056068897247314 ,0.7114280722256260,0.9020061639802918
4,0.0043630599975586 ,0.6631095924787161,1.3008496153631417
8,0.0025110244750977 ,0.9962723704145159,1.3589307944843909
16,0.0022199153900146 ,1.5834385555908301,2.5114123162310955
32,0.0033869743347168 ,1.7369924514847064,2.9026306940160094
64,0.0037648677825928 ,2.4911974919466329,4.4583039051157627
128,0.0020611286163330 ,3.0503335728101555,6.6206020059304045
256,0.0031349658966064 ,4.5378758055450685,9.4015625524035169
512,0.0031700134277344 ,6.3537323314270679,13.0377023820889200
1024,0.0035400390625000 ,8.9988481017440485,18.4648646916939114
2048,0.0075290203094482 ,13.0770878193603206,25.8822974694418626
