N,t,err,norm_x
2,0.0126829147338867 ,0.0000000000000001,0.9020061639802917
4,0.0003750324249268 ,0.0000000000000005,1.3008496153631417
8,0.0014331340789795 ,0.0000000000000015,1.3589307944843909
16,0.0112540721893311 ,0.0000000000000158,2.5114123162310955
32,0.0640540122985840 ,0.0000000000000277,2.9026306940160094
64,0.4855480194091797 ,0.0000000000001181,4.4583039051157627
128,3.7658121585845947 ,0.0000000000003206,6.6206020059304027
256,29.3007409572601318 ,0.0000000000004291,9.4015625524035187
512,231.4543800354003906 ,0.0000000000024163,13.0377023820889200
1024,1850.6131119728088379 ,0.0000000000126305,18.4648646916939008
