N,k,t,err,norm_x
200,0,14.4675011634826660 ,0.0000000000069738,8.7658668232884409
200,1,14.1787688732147217 ,0.0000000000002565,7.6594376893380849
200,2,14.0571990013122559 ,0.0000000000007832,8.1325739064647120
200,3,13.9753317832946777 ,0.0000000000019530,7.9488096410206204
200,4,14.0471050739288330 ,0.0000000000211587,8.1514973112129745
200,5,14.0170640945434570 ,0.0000000000028216,8.5164381568949530
200,6,13.9401249885559082 ,0.0000000000003841,8.0405395575496605
200,7,13.9629328250885010 ,0.0000000000003718,8.1317088603089900
200,8,14.0019881725311279 ,0.0000000000002819,7.7888314392175753
200,9,14.0024960041046143 ,0.0000000000005243,8.3067651099017112
200,10,13.9786429405212402 ,0.0000000000005233,8.0355001759428237
200,11,14.0286140441894531 ,0.0000000000040421,7.8773303247257171
200,12,14.0156579017639160 ,0.0000000000008576,8.1710882948507599
